geo,EU_OTH_other,EU_OTH_primary,EU_OTH_secundary,EU_OTH_tertiary,FOR_other,FOR_primary,FOR_secundary,FOR_tertiary,NAT_other,NAT_primary,NAT_secundary,NAT_tertiary,NEU_other,NEU_primary,NEU_secundary,NEU_tertiary,OTH_other,OTH_primary,OTH_secundary,OTH_tertiary,TOTAL_other,TOTAL_primary,TOTAL_secundary,TOTAL_tertiary,UNK_other,UNK_primary,UNK_secundary,UNK_tertiary,pct_native_tertiary,pct_fborn_primary,pct_fborn_secundary,pct_fborn_tertiary,pct_non_eu_primary,pct_non_eu_secundary,pct_non_eu_tertiary,pct_eu_fborn_primary,pct_eu_fborn_secundary,pct_eu_fborn_tertiary
DE1,794330,79170,513670,171010,1800850,248790,1095710,356010,9635150,381260,4546070,1852280,1006510,169620,582040,185000,94570,13530,65420,14510,11916730,668370,5936140,2300760,386140,24780,228940,77970,0.08895783306118528,0.011948419940447604,0.052622706752473346,0.017097781192968974,0.008146191528191337,0.027953126500816446,0.008884833349342041,0.0038022284122562673,0.0246695802516569,0.008212947843626934
DE11,338550,37890,222070,67300,732100,111790,448380,136370,3543470,144420,1620730,700300,393550,73900,226310,69080,38980,5700,26660,5870,4455930,271890,2178160,871310,141360,9980,82390,28770,0.09004421848741657,0.0143739014489623,0.05765247277650699,0.017534385370739678,0.009502024484106931,0.029098824912019483,0.008882271331016331,0.004871876964855367,0.0285536478644875,0.008653399834646773
DE12,201090,16800,129110,46840,455740,58380,273690,100530,2414820,96070,1162130,465760,254650,41580,144580,53690,23180,2810,16400,3920,3008710,164520,1519960,594410,114980,7260,67750,24200,0.08808533171949466,0.011040925939934942,0.051760723201452453,0.019012406384749225,0.00786368106513352,0.027343218095166048,0.010153945079052878,0.0031772448748014223,0.024417505106286406,0.008858461305696346
DE13,140380,13860,87380,32170,347100,42580,207580,68810,2008390,75790,979280,365350,206730,28720,120200,36640,16870,2520,11470,2600,2444590,124790,1241630,451070,72230,3890,43280,14300,0.08572105638561453,0.009990427209249943,0.04870391921315414,0.01614469930174938,0.0067384938809219915,0.02820219235678354,0.008596741497109393,0.0032519333283279528,0.020501726856370597,0.0075479578046399876
DE14,114320,10620,75130,24710,265910,36040,166060,50310,1668470,64980,783920,320870,151580,25420,90940,25600,15540,2500,10900,2120,2007500,107170,996420,383990,57570,3650,35530,10690,0.09180619613857194,0.010311638074092725,0.04751250329033956,0.014394520297103357,0.007273081016743537,0.026019433031575816,0.007324581983817252,0.003038557057349188,0.021495931423601178,0.007069938313286105
DE2,941020,57520,595890,242690,1811380,190650,1081060,427010,11790430,422980,5930190,2180940,870370,133130,485190,184320,54330,7560,36880,9190,14021010,639570,7261060,2694850,364830,18370,212940,77700,0.08859670895403854,0.007744808459695107,0.043916090393065786,0.017346502283631826,0.005408163389662783,0.019709958649669387,0.007487663757099408,0.0023366450700323237,0.024206944206911708,0.009858838526532418
DE21,404390,23180,231550,125030,744450,73850,404570,213490,3987650,128090,1802080,912400,340070,50670,173030,88470,21720,3290,13750,4290,4906110,213160,2302480,1169270,152290,7930,82060,39090,0.10620391990706575,0.008596185319089003,0.047092196270058735,0.024850367011134883,0.005898019094356666,0.020140798182288016,0.010297962290857197,0.0026981662247323366,0.02695256209390736,0.014553568726414326
DE22,74590,4140,50520,15880,134240,11750,88410,25550,1159270,43690,639540,160740,59660,7610,37900,9670,4500,550,3220,560,1329920,57040,752460,191570,31910,1060,21290,4700,0.06895782478689312,0.0050407766657085615,0.03792809063959948,0.010961007983732235,0.00326470727030146,0.016259186011094,0.004148451945310791,0.0017760693954071017,0.021673194651199705,0.006812556038421443
DE23,59140,2520,41960,12070,117010,10270,76560,22440,1060970,39590,579770,162430,57870,7750,34600,10390,2570,310,1890,360,1209790,51660,676410,190320,29240,1500,18190,5080,0.07632343128870678,0.004825719628978752,0.035974400661598176,0.010544220883571879,0.003641609262374423,0.016258023287503878,0.0048821058369122915,0.0011841103666043286,0.019716377374094297,0.005671512747981843
DE24,55500,3010,39930,11060,111440,11280,73320,21640,1055050,42230,583580,163040,55930,8270,33400,10590,2490,360,1660,460,1194330,54850,674870,189560,25350,990,16280,4430,0.07713816645454932,0.005336840760594434,0.03468946494386382,0.010238407274757406,0.00391273697607411,0.015802347642185643,0.0050103850757708375,0.001424103784520323,0.01889184854348721,0.0052327534407956055
DE25,148910,12040,96280,35460,287550,33570,173810,65540,1556170,58520,771960,296270,138650,21530,77530,30080,7380,1220,5140,1000,1895530,95860,976680,371590,44390,2550,25780,8790,0.08871262344070953,0.01005192145308205,0.05204422007030656,0.019624752220285896,0.006446764041848571,0.023214938047585683,0.009006904894510219,0.003605157411233479,0.028829282022720875,0.010617847325775677
