geo,year,expenditure
SI,2013,0.242
SK,2013,0.17800000000000002
TR,2013,0.11900000000000001
UK,2013,0.27699999999999997
AT,2012,0.284
BE,2012,0.284
BG,2012,0.16
CH,2012,0.23199999999999998
CY,2012,0.19899999999999998
CZ,2012,0.19699999999999998
DE,2012,0.276
DK,2012,0.324
EE,2012,0.149
EL,2012,0.27899999999999997
ES,2012,0.252
FI,2012,0.292
FR,2012,0.315
HR,2012,0.209
HU,2012,0.209
IE,2012,0.233
IS,2012,0.226
IT,2012,0.27699999999999997
LT,2012,0.154
LU,2012,0.21100000000000002
LV,2012,0.141
MT,2012,0.185
NL,2012,0.285
NO,2012,0.235
PL,2012,0.185
PT,2012,0.25
RO,2012,0.153
RS,2012,0.221
SE,2012,0.284
SI,2012,0.243
SK,2012,0.174
TR,2012,0.122
UK,2012,0.28300000000000003
AT,2011,0.28
BE,2011,0.28600000000000003
BG,2011,0.159
CH,2011,0.22699999999999998
CY,2011,0.191
CZ,2011,0.193
DE,2011,0.275
DK,2011,0.325
EE,2011,0.155
EL,2011,0.273
ES,2011,0.25
FI,2011,0.27899999999999997
FR,2011,0.309
HR,2011,0.203
HU,2011,0.212
IE,2011,0.23600000000000002
IS,2011,0.228
IT,2011,0.27
LT,2011,0.162
LU,2011,0.207
LV,2011,0.154
MT,2011,0.18600000000000003
NL,2011,0.278
NO,2011,0.237
PL,2011,0.183
PT,2011,0.243
RO,2011,0.16399999999999998
RS,2011,0.21
SE,2011,0.27399999999999997
SI,2011,0.24
SK,2011,0.171
TR,2011,0.12
UK,2011,0.282
AT,2010,0.28800000000000003
BE,2010,0.281
BG,2010,0.165
CH,2010,0.22699999999999998
CY,2010,0.184
CZ,2010,0.192
DE,2010,0.287
DK,2010,0.32899999999999996
EE,2010,0.174
EL,2010,0.256
ES,2010,0.243
FI,2010,0.284
FR,2010,0.31
HR,2010,0.20600000000000002
HU,2010,0.218
IE,2010,0.243
IS,2010,0.222
IT,2010,0.273
LT,2010,0.182
LU,2010,0.20800000000000002
LV,2010,0.177
MT,2010,0.187
NL,2010,0.27399999999999997
NO,2010,0.24
PL,2010,0.192
PT,2010,0.244
RO,2010,0.17300000000000001
RS,2010,0.221
SE,2010,0.278
SI,2010,0.23800000000000002
SK,2010,0.174
TR,2010,0.125
UK,2010,0.278
AT,2009,0.287
BE,2009,0.287
BG,2009,0.156
CH,2009,0.231
CY,2009,0.188
CZ,2009,0.193
DE,2009,0.294
DK,2009,0.331
EE,2009,0.18600000000000003
EL,2009,0.244
ES,2009,0.242
FI,2009,0.281
FR,2009,0.31
HR,2009,0.203
HU,2009,0.222
IE,2009,0.24
IS,2009,0.231
IT,2009,0.272
LT,2009,0.204
LU,2009,0.21600000000000003
LV,2009,0.16399999999999998
MT,2009,0.191
NL,2009,0.26899999999999996
NO,2009,0.242
PL,2009,0.198
PT,2009,0.245
RO,2009,0.161
RS,2009,0.22399999999999998
SE,2009,0.292
SI,2009,0.23199999999999998
SK,2009,0.179
TR,2009,0.132
UK,2009,0.275
AT,2008,0.267
BE,2008,0.263
BG,2008,0.14300000000000002
CH,2008,0.212
CY,2008,0.168
CZ,2008,0.172
DE,2008,0.262
DK,2008,0.294
EE,2008,0.14400000000000002
EL,2008,0.22399999999999998
ES,2008,0.21100000000000002
FI,2008,0.243
FR,2008,0.287
HR,2008,0.182
HU,2008,0.21899999999999997
IE,2008,0.20199999999999999
IS,2008,0.203
IT,2008,0.252
LT,2008,0.155
LU,2008,0.195
LV,2008,0.11800000000000001
MT,2008,0.17800000000000002
NL,2008,0.244
NO,2008,0.207
PL,2008,0.188
PT,2008,0.223
RO,2008,0.135
RS,2008,0.21
SE,2008,0.271
SI,2008,0.205
SK,2008,0.152
TR,2008,0.111
UK,2008,0.247
AT,2007,0.262
BE,2007,0.25
BG,2007,0.13
CH,2007,0.217
CY,2007,0.161
CZ,2007,0.16899999999999998
DE,2007,0.259
DK,2007,0.294
EE,2007,0.11699999999999999
EL,2007,0.20800000000000002
ES,2007,0.19899999999999998
FI,2007,0.23600000000000002
FR,2007,0.284
HU,2007,0.21600000000000003
IE,2007,0.17300000000000001
IS,2007,0.2
IT,2007,0.243
LT,2007,0.139
LU,2007,0.188
LV,2007,0.10300000000000001
MT,2007,0.175
NL,2007,0.242
NO,2007,0.21100000000000002
PL,2007,0.179
PT,2007,0.218
RO,2007,0.129
SE,2007,0.267
SI,2007,0.205
SK,2007,0.15
TR,2007,0.10800000000000001
UK,2007,0.23800000000000002
AT,2006,0.267
BE,2006,0.254
BG,2006,0.134
CH,2006,0.22399999999999998
CY,2006,0.16399999999999998
CZ,2006,0.16899999999999998
DE,2006,0.267
DK,2006,0.276
EE,2006,0.11800000000000001
EL,2006,0.201
ES,2006,0.196
FI,2006,0.245
FR,2006,0.28600000000000003
HU,2006,0.214
IE,2006,0.16699999999999998
IS,2006,0.19899999999999998
IT,2006,0.244
LT,2006,0.129
LU,2006,0.19899999999999998
LV,2006,0.115
MT,2006,0.175
NL,2006,0.24600000000000002
NO,2006,0.21100000000000002
PL,2006,0.191
PT,2006,0.223
RO,2006,0.126
SE,2006,0.278
SI,2006,0.21899999999999997
SK,2006,0.154
TR,2006,0.10400000000000001
UK,2006,0.256
AT,2005,0.271
BE,2005,0.257
BG,2005,0.141
CH,2005,0.233
CY,2005,0.162
CZ,2005,0.172
DE,2005,0.27899999999999997
DK,2005,0.28600000000000003
EE,2005,0.122
EL,2005,0.19899999999999998
ES,2005,0.19699999999999998
FI,2005,0.247
FR,2005,0.289
HU,2005,0.209
IE,2005,0.165
IS,2005,0.20600000000000002
IT,2005,0.24100000000000002
LT,2005,0.128
LU,2005,0.213
LV,2005,0.11699999999999999
MT,2005,0.174
NL,2005,0.23800000000000002
NO,2005,0.22399999999999998
PL,2005,0.19399999999999998
PT,2005,0.223
RO,2005,0.133
SE,2005,0.28600000000000003
SI,2005,0.222
SK,2005,0.155
TR,2005,0.102
UK,2005,0.257
AT,2004,0.275
BE,2004,0.259
CH,2004,0.235
CY,2004,0.161
CZ,2004,0.171
DE,2004,0.281
DK,2004,0.29
EE,2004,0.127
EL,2004,0.183
ES,2004,0.19399999999999998
FI,2004,0.248
FR,2004,0.28800000000000003
HU,2004,0.19899999999999998
IE,2004,0.16699999999999998
IS,2004,0.214
IT,2004,0.239
LT,2004,0.13
LU,2004,0.213
LV,2004,0.12
MT,2004,0.175
NL,2004,0.24100000000000002
NO,2004,0.242
PL,2004,0.198
PT,2004,0.218
RO,2004,0.127
SE,2004,0.289
SI,2004,0.22399999999999998
SK,2004,0.162
TR,2004,0.102
UK,2004,0.25
AT,2003,0.278
BE,2003,0.259
CH,2003,0.233
CY,2003,0.163
CZ,2003,0.179
DE,2003,0.28800000000000003
DK,2003,0.292
EE,2003,0.12300000000000001
EL,2003,0.18
ES,2003,0.193
FI,2003,0.247
FR,2003,0.287
HU,2003,0.205
IE,2003,0.161
IS,2003,0.217
IT,2003,0.23600000000000002
LT,2003,0.13
LU,2003,0.214
LV,2003,0.126
MT,2003,0.17
NL,2003,0.243
NO,2003,0.255
PL,2003,0.20600000000000002
PT,2003,0.212
RO,2003,0.131
SE,2003,0.295
SI,2003,0.22699999999999998
SK,2003,0.174
TR,2003,0.10099999999999999
UK,2003,0.247
AT,2002,0.27399999999999997
BE,2002,0.252
CH,2002,0.22399999999999998
CY,2002,0.146
CZ,2002,0.179
DE,2002,0.284
DK,2002,0.281
EE,2002,0.124
EL,2002,0.18
ES,2002,0.19
FI,2002,0.24100000000000002
FR,2002,0.281
HU,2002,0.19699999999999998
IE,2002,0.158
IS,2002,0.2
IT,2002,0.233
LT,2002,0.136
LU,2002,0.203
LV,2002,0.133
MT,2002,0.172
NL,2002,0.23399999999999999
NO,2002,0.243
PL,2002,0.20600000000000002
PT,2002,0.20600000000000002
RO,2002,0.133
SE,2002,0.28600000000000003
SI,2002,0.23399999999999999
SK,2002,0.182
TR,2002,0.091
UK,2002,0.223
AT,2001,0.271
BE,2001,0.244
CH,2001,0.213
CY,2001,0.136
CZ,2001,0.172
DE,2001,0.27699999999999997
DK,2001,0.276
EE,2001,0.128
EL,2001,0.179
ES,2001,0.187
FI,2001,0.23399999999999999
FR,2001,0.275
HU,2001,0.187
IE,2001,0.151
IS,2001,0.184
IT,2001,0.228
LT,2001,0.14300000000000002
LU,2001,0.193
LV,2001,0.141
MT,2001,0.16899999999999998
NL,2001,0.22399999999999998
NO,2001,0.245
PL,2001,0.204
PT,2001,0.19
RO,2001,0.126
SE,2001,0.27699999999999997
SI,2001,0.23399999999999999
SK,2001,0.18100000000000002
