region,year_gdp,log_gdp
ATZ,2012,4.824867806898001
ATZ,2013,4.8235825629264
ATZ,2014,4.876646654092939
ATZ,2015,4.867995882441006
ATZ,2016,4.868072767075649
ATZ,2017,4.900001640593084
ATZ,2018,4.908085639080461
ATZ,2019,4.9684929838982885
ATZZ,1999,4.6570982788484505
ATZZ,2000,4.666265285347902
ATZZ,2001,4.678141798443914
ATZZ,2002,4.644871552839644
ATZZ,2003,4.668520501488853
ATZZ,2004,4.702569091975224
ATZZ,2005,4.688223741123377
ATZZ,2006,4.687855552606699
ATZZ,2007,4.75720434184359
ATZZ,2008,4.824867806898001
ATZZ,2009,4.860354892847096
ATZZ,2010,4.868687631440574
ATZZ,2011,4.904237203306436
ATZZ,2012,4.824867806898001
ATZZ,2013,4.8235825629264
ATZZ,2014,4.876646654092939
ATZZ,2015,4.867995882441006
ATZZ,2016,4.868072767075649
ATZZ,2017,4.900001640593084
ATZZ,2018,4.908085639080461
ATZZ,2019,4.9684929838982885
BE,1999,12.454401956110624
BE,2000,12.484972138791337
BE,2001,12.518163997754447
BE,2002,12.546822150155947
BE,2003,12.600880162735734
BE,2004,12.644448859428833
BE,2005,12.692046506542077
BE,2006,12.747288473400195
BE,2007,12.770656358579544
BE,2008,12.755559595252366
BE,2009,12.802543989200508
BE,2010,12.83725878040699
BE,2011,12.864045136732276
BE,2012,12.881259500713126
BE,2013,12.906700029480902
BE,2014,12.940125177136123
BE,2015,12.971738840089627
BE,2016,13.005942139080906
BE,2017,13.039045679466405
BE,2018,13.077702147442187
BE,2019,13.03220428792526
BE1,1999,10.816065400178378
BE1,2000,10.857693915545154
BE1,2001,10.895500410259558
BE1,2002,10.909276150854575
BE1,2003,10.961613727769615
BE1,2004,10.993740835188477
BE1,2005,11.036905212090034
BE1,2006,11.076042906904496
BE1,2007,11.087908815041288
BE1,2008,11.094167648984833
BE1,2009,11.143107673802419
BE1,2010,11.17341128633122
BE1,2011,11.200476953869666
BE1,2012,11.211775371173776
BE1,2013,11.239329581350185
BE1,2014,11.276237855593703
BE1,2015,11.291143236635282
BE1,2016,11.318302434351333
BE1,2017,11.34133053169571
BE1,2018,11.380269803067314
BE1,2019,11.336743502237772
BE10,1999,10.816065400178378
BE10,2000,10.857693915545154
BE10,2001,10.895500410259558
BE10,2002,10.909276150854575
BE10,2003,10.961613727769615
BE10,2004,10.993740835188477
BE10,2005,11.036905212090034
BE10,2006,11.076042906904496
BE10,2007,11.087908815041288
BE10,2008,11.094167648984833
BE10,2009,11.143107673802419
BE10,2010,11.17341128633122
BE10,2011,11.200476953869666
BE10,2012,11.211775371173776
BE10,2013,11.239329581350185
BE10,2014,11.276237855593703
BE10,2015,11.291143236635282
BE10,2016,11.318302434351333
BE10,2017,11.34133053169571
BE10,2018,11.380269803067314
BE10,2019,11.336743502237772
BE2,1999,11.892016891616528
BE2,2000,11.920974897500173
BE2,2001,11.955293024214525
BE2,2002,11.988163557975513
BE2,2003,12.041730938134616
BE2,2004,12.088320109408675
BE2,2005,12.141198441390701
BE2,2006,12.202164167370814
BE2,2007,12.223795906559635
BE2,2008,12.203671916083955
BE2,2009,12.24597524153311
BE2,2010,12.285647028172045
BE2,2011,12.316832677527247
BE2,2012,12.336301948502596
BE2,2013,12.359801164831644
BE2,2014,12.397227036072637
BE2,2015,12.434802842438817
BE2,2016,12.47090827673056
BE2,2017,12.501887643403393
BE2,2018,12.538226464048769
BE2,2019,12.492536100769522
BE21,1999,10.777513165753788
BE21,2000,10.79074548180667
BE21,2001,10.8364127611583
