NUTS3,UKE44,Calderdale and Kirklees,"7,011","7,291","7,418","7,753","7,917","8,378","8,855","9,425","9,818","10,341","10,199","9,896","10,101","10,513","10,923","11,425","12,317","12,924","13,287","13,733","14,025"
NUTS3,UKE45,Wakefield,"4,729","4,795","4,940","5,223","5,294","5,517","5,750","5,995","6,244","6,431","6,603","6,288","6,241","6,592","7,013","7,371","7,483","7,889","8,168","8,344","8,781"
NUTS1,UKF,East Midlands,"61,479","63,476","65,752","68,383","71,323","74,957","78,353","82,276","87,085","90,974","93,435","91,030","95,207","97,949","101,247","105,816","109,692","113,046","117,067","121,012","124,647"
NUTS2,UKF1,Derbyshire and Nottinghamshire,"29,614","30,677","31,158","31,878","33,117","34,518","36,346","38,158","39,730","41,251","42,613","41,129","43,213","45,339","46,559","48,530","50,070","51,371","53,075","54,518","55,999"
NUTS3,UKF11,Derby,"4,135","4,376","4,565","4,794","5,082","5,278","5,689","6,181","6,404","6,610","6,470","6,475","6,557","6,949","6,870","7,057","7,093","7,360","7,405","7,228","7,872"
NUTS3,UKF12,East Derbyshire,"4,303","4,346","4,460","4,361","4,252","4,415","4,463","4,462","4,658","4,891","5,463","5,118","5,514","5,836","6,074","6,285","6,699","7,067","7,671","7,734","8,008"
NUTS3,UKF13,South and West Derbyshire,"6,291","6,444","6,447","6,584","6,951","7,230","7,560","7,982","8,119","8,281","8,400","7,957","8,674","9,038","9,234","9,761","10,029","10,039","10,881","11,359","10,973"
NUTS3,UKF14,Nottingham,"5,642","5,857","5,925","6,111","6,397","6,808","7,302","7,572","8,062","8,475","8,898","8,694","8,990","9,427","9,770","10,098","10,763","10,986","10,715","11,273","11,413"
NUTS3,UKF15,North Nottinghamshire,"5,216","5,392","5,454","5,608","5,865","6,152","6,510","6,845","7,183","7,430","7,618","7,395","7,708","8,068","8,275","8,734","9,032","9,280","9,548","9,629","10,097"
NUTS3,UKF16,South Nottinghamshire,"4,027","4,262","4,308","4,420","4,569","4,635","4,822","5,117","5,304","5,563","5,765","5,489","5,770","6,021","6,336","6,594","6,453","6,639","6,854","7,294","7,635"
NUTS2,UKF2,"Leicestershire, Rutland and Northamptonshire","23,559","24,161","25,695","26,501","27,378","29,034","30,694","32,188","34,745","36,479","37,574","36,582","38,245","38,679","39,993","41,811","43,783","45,557","47,652","49,403","51,021"
NUTS3,UKF21,Leicester,"4,332","4,436","4,680","4,723","4,869","5,222","5,562","5,846","6,226","6,543","6,759","6,636","6,956","7,174","7,099","7,388","7,916","8,306","8,838","9,031","9,205"
NUTS3,UKF22,Leicestershire CC and Rutland,"9,489","9,723","10,282","10,732","11,274","11,909","12,527","13,035","14,036","14,722","15,249","14,853","15,564","15,435","16,362","16,916","17,550","18,215","18,784","19,358","20,262"
NUTS3,UKF24,West Northamptonshire,"5,933","6,094","6,636","6,830","6,957","7,364","7,886","8,436","9,312","9,755","9,932","9,667","9,953","10,270","10,415","11,079","11,561","12,080","12,393","12,779","13,176"
