geo,eu_fborn,fborn,native_born,non_eu_fborn,OTH,total_pop,UNK,pct_fborn,pct_non_eu_fborn,pct_eu_fborn,pct_fborn_sq,pct_non_eu_fborn_sq,pct_eu_fborn_sq,country_code,non_eu_prop
DEE,103120,145080,2069750,41960,4850,2267610,47930,0.06397925569211636,0.018504063749939362,0.04547519194217701,0.004093345158917204,3.4240037526181996e-4,0.0020679930821778407,DE,0.28921974083264407
DEE0,103120,145080,2069750,41960,4850,2267610,47930,0.06397925569211636,0.018504063749939362,0.04547519194217701,0.004093345158917204,3.4240037526181996e-4,0.0020679930821778407,DE,0.28921974083264407
DEF,164020,308920,2369670,144890,8140,2781020,94290,0.11108154561995238,0.05209958935929983,0.0589783604576738,0.012339109777317564,0.002714367211407668,0.0034784470022753006,DE,0.4690211057879063
DEF0,164020,308920,2369670,144890,8140,2781020,94290,0.11108154561995238,0.05209958935929983,0.0589783604576738,0.012339109777317564,0.002714367211407668,0.0034784470022753006,DE,0.4690211057879063
DEG,83910,122550,1993470,38650,4080,2173040,52950,0.056395648492434565,0.01778614291499466,0.038614107425542096,0.003180469168882237,3.163468797926148e-4,0.0014910492922713052,DE,0.31538147694818436
DEG0,83910,122550,1993470,38650,4080,2173040,52950,0.056395648492434565,0.01778614291499466,0.038614107425542096,0.003180469168882237,3.163468797926148e-4,0.0014910492922713052,DE,0.31538147694818436
DEZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,DE,NA
DEZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,DE,NA
EE,12051,197356,1096859,185305,3,1294455,237,0.15246261940353276,0.14315290991189342,0.009309709491639338,0.023244850315386482,0.020492755616242673,8.667069081871958e-5,EE,0.9389377571495165
EE0,12051,197356,1096859,185305,3,1294455,237,0.15246261940353276,0.14315290991189342,0.009309709491639338,0.023244850315386482,0.020492755616242673,8.667069081871958e-5,EE,0.9389377571495165
EE00,12051,197356,1096859,185305,3,1294455,237,0.15246261940353276,0.14315290991189342,0.009309709491639338,0.023244850315386482,0.020492755616242673,8.667069081871958e-5,EE,0.9389377571495165
EEZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,EE,NA
EEZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,EE,NA
IE,554600,766640,3758511,212040,130,4574888,49607,0.16757568709878798,0.04634867563970965,0.12122701145907834,0.028081610906630895,0.002148199733555015,0.01469598830729951,IE,0.2765835333402901
IE0,554600,766640,3758511,212040,130,4574888,49607,0.16757568709878798,0.04634867563970965,0.12122701145907834,0.028081610906630895,0.002148199733555015,0.01469598830729951,IE,0.2765835333402901
IE01,172538,215993,1012242,43455,22,1240129,11872,0.17416978394989555,0.03504070947457885,0.1391290744753167,0.03033511364115329,0.0012278513204818401,0.019356899364358218,IE,0.2011870755070766
IE02,382062,550647,2746269,168585,108,3334759,37735,0.1651234766890201,0.050553878106333924,0.11456959858268619,0.027265762553869366,0.0025556945915900684,0.013126192919397848,IE,0.30615802864630154
IEZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,IE,NA
IEZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,IE,NA
EL,341568,1286067,9530219,944499,0,10816286,0,0.11890097950442509,0.08732193287048808,0.03157904663393701,0.014137442927111716,0.007625119960238026,9.972361863083681e-4,EL,0.7344088605026021
EL1,123617,383336,3123405,259719,0,3506741,0,0.1093140326017804,0.07406278365011844,0.035251248951661956,0.011949557723663106,0.005485295922004251,0.0012426505526520481,EL,0.677523112882693
EL51,26602,64686,543496,38084,0,608182,0,0.10635960945901063,0.06261941326773893,0.043740196191271695,0.011312366524273263,0.003921190917995878,0.0019132047628509388,EL,0.5887518164672416
EL52,72376,241469,1640639,169093,0,1882108,0,0.12829710091025595,0.08984234698540147,0.03845475392485447,0.016460146101976398,0.008071647311845277,0.0014787680994211103,EL,0.7002679432970691
EL53,7743,21882,261807,14139,0,283689,0,0.07713376267673402,0.04983978934678468,0.027293973329949345,0.005949617344670727,0.002484004602131872,7.449609801359862e-4,EL,0.646147518508363
EL61,16896,55299,677463,38403,0,732762,0,0.0754665225543901,0.05240855830406053,0.023057964250329573,0.00569519602645227,0.0027466569835101116,5.316697153694767e-4,EL,0.6944610209949548
EL2,65396,224593,2125207,159197,0,2349800,0,0.09557962379777002,0.06774917014213976,0.027830453655630267,0.009135464485323245,0.004589950054948601,7.745341506781841e-4,EL,0.7088244068158848
EL54,9995,29695,307161,19700,0,336856,0,0.08815339492245945,0.05848196261904196,0.029671432303417483,0.0077710210363551,0.003420139951775021,8.803938949362866e-4,EL,0.6634113487119043
EL62,8467,27599,180256,19132,0,207855,0,0.13278006302470471,0.09204493517115296,0.04073512785355175,0.017630545136844557,0.008472270090661751,0.001659350641245208,EL,0.6932135222290663
EL63,11991,47912,631884,35921,0,679796,0,0.07047996751966766,0.0528408522556767,0.01763911526399096,0.004967425821573408,0.0027921556671062536,3.111383872963589e-4,EL,0.7497286692269161
EL64,11588,53077,494313,41489,0,547390,0,0.09696377354354299,0.07579422349695829,0.021169550046584704,0.009401973379803488,0.005744764315506864,4.481498491748544e-4,EL,0.7816756787309004
EL65,23355,66310,511593,42955,0,577903,0,0.11474243947513683,0.07432908290837736,0.04041335656675947,0.013165827416705439,0.005524812566000436,0.0016332393889920407,EL,0.6477906801387423
EL3,105181,550027,3278407,444846,0,3828434,0,0.14366892572785636,0.1161952902936292,0.027473635434227154,0.020640760219796307,0.01350134548642076,7.548006439728218e-4,EL,0.8087712057771709
EL30,105181,550027,3278407,444846,0,3828434,0,0.14366892572785636,0.1161952902936292,0.027473635434227154,0.020640760219796307,0.01350134548642076,7.548006439728218e-4,EL,0.8087712057771709
EL4,47374,128111,1003200,80737,0,1131311,0,0.11324118655259252,0.07136587551964049,0.041875311032952035,0.012823566331839061,0.005093088188684822,0.0017535416741064744,EL,0.6302113011372951
EL41,4093,16515,182716,12422,0,199231,0,0.08289372637792311,0.06234973473003699,0.02054399164788612,0.006871369872817986,0.003887489420905981,4.220555928284147e-4,EL,0.7521646987587043
EL42,13755,43421,265594,29666,0,309015,0,0.14051421452033072,0.09600181220976328,0.044512402310567446,0.01974424448226552,0.009216347947558655,0.00198135395945781,EL,0.683217797839755
EL43,29526,68175,554890,38649,0,623065,0,0.10941876048245368,0.062030446261625995,0.04738831422082768,0.011972465145516567,0.0038477762634164703,0.002245652324691899,EL,0.5669086908690869
ELS,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,EL,NA
